,key_0,type,size,age,gender,has_name,spay_neuter,intake_condition,pit_bull,intake_location,adopt_return,adopt_return_predict_proba,latitude,longitude
211,211,DOG,PUPPY,2.0,Female,0,1,HEALTHY,0,SANTA ROSA,0,0.07128303,38.403734,-122.736775
212,212,DOG,SMALL,3.0,Male,1,0,TREATABLE/REHAB,0,SANTA ROSA,0,0.0069242385,,
213,213,CAT,SMALL,5.0,Male,1,1,UNKNOWN,0,SANTA ROSA,0,0.05066676,38.346718,-122.695947
214,214,DOG,SMALL,,Female,1,1,UNKNOWN,0,ROHNERT PARK,0,0.22802491,38.458384,-122.675588
215,215,DOG,LARGE,,Male,0,0,UNKNOWN,1,SONOMA COUNTY,0,0.0069242385,38.27114,-122.026467
216,216,DOG,SMALL,12.0,Female,1,0,UNTREATABLE,0,SANTA ROSA,0,0.0069242385,38.446019,-122.766748
217,217,OTHER,SMALL,,Unknown,0,0,UNTREATABLE,0,SONOMA COUNTY,0,0.0069242385,,
218,218,DOG,LARGE,,Male,0,1,TREATABLE/MANAGEABLE,0,SANTA ROSA,0,0.012686619,38.098743,-122.592459
219,219,CAT,SMALL,3.0,Male,0,1,HEALTHY,0,SANTA ROSA,0,0.06813072,,
220,220,DOG,LARGE,3.0,Male,1,0,HEALTHY,0,SONOMA COUNTY,0,0.0069242385,38.541541,-122.809202
221,221,DOG,MED,6.0,Female,1,0,HEALTHY,0,SONOMA COUNTY,0,0.0069242385,38.541541,-122.809202
222,222,DOG,LARGE,,Male,1,1,UNKNOWN,1,SONOMA COUNTY,0,0.013261708,39.550917,-119.799103
223,223,DOG,SMALL,5.0,Female,1,1,HEALTHY,0,SONOMA COUNTY,0,0.083184436,38.346718,-122.695947
